,,Dataset,,,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,,,
Mustard seed,Brassica rapa L.  (but Brassica juncea (L.) Czern. for the spice mustard),,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), with Europe region further refined,  Castañeda-Álvarez (2016)"
"Nutmeg, mace, & cardamoms","Nutmeg/mace (Myristica fragrans Houtt.), Cardamom (Elettaria cardamomum (L.) Maton)",,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014)"
Nuts nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Oats,Avena sativa L.,x,x,x,,,,,,,,,,,,,,,,,,x,,x,,,,,"Flores-Palacios (1998), with region further refined. Species thought to be involved in the domestication of oats occur in northern Europe, which could have been part of its early domestication GRIN (2014),  Castañeda-Álvarez (2016)"
"Oilcrops, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Oilseeds nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Okra,Abelmoschus esculentus (L.) Moench,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,"Prota (2014), GRIN (2014)"
Olives,Olea europaea L.,x,x,x,,x,,,,,,,,,,,,,,x,x,,x,,x,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), SE Med, W Asia, SW Europe, and SE Europe- GRIN (2014). Close relatives occur in Macaronesia (Canary Islands & Madeira) GRIN (2014). East Africa- GRIN (2014) (parts of Sudan)"
Onions,Allium cepa L.,x,x,x,,,,,,,,,,,,x,,,,x,,,,,,,,,"Zeven and Zhukovsky (1975), Central Asia- Flores-Palacios (1998). West Asia- close relatives in N Iran GRIN (2014), Castañeda-Álvarez (2016)"
Oranges,Citrus sinensis (L.) Osbeck,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998)"
Oranges & mandarins,"Oranges (Citrus sinensis (L.) Osbeck), Mandarins (Citrus reticulata Blanco)",x,,,,,,,,,,,,,,,x,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998)"
Palm oil,"Elaeis guineensis Jacq., E. oleifera (Kunth) Cortés",x,x,x,x,,,,x,,x,,,,x,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), West Africa- Flores-Palacios (1998). Central Africa -GRIN (2014), native south to Angola. Tropical South America and Central America and Mexico- including E. oleifera, as hybrids between American and African species contributed significantly to importance of crop GRIN (2014)"
Papayas,Carica papaya L.,,x,x,,,,,,,x,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Peaches & nectarines,Prunus persica (L.) Batsch,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
